1月用电量,2月用电量,3月用电量,4月用电量,5月用电量,6月用电量,7月用电量,8月用电量,9月用电量,10月用电量,11月用电量,12月用电量
60.8748177943636,48.54713628250003,89.61537885113961,38.501177717200704,58.29134885822197,39.46248357789055,17.377650507512133,15.86374331398609,64.03801501639037,96.45265411510138,6.885538980902883,89.8993344302266
53.855117919907414,43.96019309817816,38.36012912781288,33.579000769113144,41.55121441581504,67.87325533286418,78.81274889971623,90.44094360662302,62.83172158474266,65.854762939776,90.21018812760518,87.84140373225145
5.856886219879165,13.172510186779363,76.70063088837635,34.201785033839805,5.091261757878051,42.01341633443225,18.075519862714085,48.73070798978208,38.3956660060895,88.8474015559233,79.08184801094414,84.22703470822111
30.561854714846437,50.70363212081629,92.34094317039239,4.819149812683277,74.67828922326277,19.943496031028886,26.14528219206278,35.67289688700905,96.05241489279967,85.5192172268526,37.291663741109325,73.34876552605304
59.18029775007254,77.35286750250285,35.941038569691486,78.54747671124537,98.7378557288203,85.58763623873017,16.319490382819268,25.43524142140433,10.26621198081602,66.69779328279766,28.26671542659924,75.6948534285661
32.57702122387328,51.69561436017074,29.280983005248927,63.30089302065125,50.37759433695106,43.47194019305955,31.9462138658656,24.36999938692108,41.0965099498525,98.19299310801931,30.950267459585014,82.26299537446249
25.894712664776463,6.672420636015475,48.04276388511115,50.085145597782535,24.903866283476916,77.94095058117662,32.324789958439624,80.53933481030887,40.01736076693483,23.710596353104762,82.79181055283232,83.64503909473125
40.01111912872013,97.22843171683915,89.08721958566217,52.59215095282636,8.973789968675838,56.46589744584727,49.322737627847225,90.5628115256026,99.908695910823,66.61021156240247,1.794248257181097,35.2436519106461
10.962223522230097,47.12383870535712,18.22109009253826,91.85281514863178,33.848359212499346,6.346406401185877,15.463324869287831,92.25962323998283,6.300395726758989,35.589607284092715,27.719067025988164,96.833172753829
0.23684591068380279,93.23790200820198,53.60791687696933,87.25941277867584,37.96978527575513,37.29127798592403,42.816325395930974,47.21889819791693,2.072772502417608,46.22371369205318,19.30769264035139,61.096934778402826
81.5869870356035,59.384204756176906,11.521098739386238,59.91421563015983,86.07564868910104,48.38520024473103,19.530412616750347,6.273383539992872,69.1774181606269,28.550175189635375,50.5918226442176,17.857070071721303
90.3919891208685,74.92649272919572,71.95654868442658,31.844588597207668,47.81496984299376,55.87966040825114,12.158716066963537,38.40521143219456,77.24102975945506,59.443941376424604,87.85495131792864,46.28064449830347
71.79085497877445,57.59058303638083,79.93654089278452,30.921407230391996,73.24412052382317,85.69717327963663,75.39806211725687,99.12362366337784,51.66119227120407,22.96796348805694,18.215715838552715,61.76982443121118
86.95966824816266,46.97462508016324,45.53443707527827,60.901648394056394,60.23696236694329,24.946137390654933,59.79948799969055,51.86437449372592,4.8437570708547035,80.26067506366113,44.79816119901358,92.24308862276037
31.06541861614449,75.8363227189104,76.06638395144394,3.176411173953908,67.15044281721958,83.96234289175135,30.833625822927157,51.82869755176148,47.92886755898973,82.09242318552982,9.364352190593383,67.21595599395039
55.47227953031151,89.24331532444954,38.12352356012308,51.507247075622544,18.24423382943815,50.208365622240734,13.756960713608024,45.250086460058384,68.52318761768957,81.66811721101037,31.49579206316603,50.275260987795775
98.16956046395192,39.92266345151012,81.99001006560303,60.666063714460805,33.603414608636065,73.36812131996501,10.577925987008818,15.409808908620626,48.0315368972207,49.07448304787653,4.893296812525183,81.62682701527832
60.88951274956034,80.03158529910975,99.25378250784625,56.78803242730298,4.494519176825351,40.00774637425645,20.604946930602917,51.0177885772817,70.9456185703238,88.07575635102775,82.74739134460548,50.493315474743916
40.70140454647543,67.5366654424637,96.85689823947905,81.92946483791003,75.68767981972623,15.363758205211987,0.7014828200503365,35.91001802727413,80.1150663266763,83.90477848526191,72.34339775817949,40.8176157692353
10.210526708759026,61.509857619132845,34.30394872660102,3.8733106384089666,35.32204089136801,77.74949336842775,64.25566125639898,8.066901490463307,33.411089474867204,49.89435486217063,40.31002958206905,44.48225051185921
97.51370858574042,76.58937814265266,86.74823432190557,20.937688037189673,33.623476807794574,71.55068216522824,80.24987145833295,48.24664379399134,17.463633947946732,88.47367112206011,32.33688562428681,72.94865258253593
64.16102693749637,86.18852791522747,52.06486284803942,67.15504024816218,87.8410173746717,28.705248057973133,40.693551533665165,29.032389980737815,88.5540421448323,69.88759206534922,1.5766510382076437,42.27922661706843
86.87866844892825,56.8848229543642,6.383497432161556,72.31305774275093,71.56228379783633,72.53148270719211,15.87243214291869,18.15673287477707,49.50711275615426,63.57067953430558,17.69040386867491,12.073760577610159
30.149297779059548,35.057080758631656,38.27430316364428,49.83314569687566,71.00154716379437,53.88344726429908,34.12853671989647,76.70971246124383,77.90406023967216,19.66666993894265,12.487779524266928,30.685187527383018
87.48713604811437,85.8298534359198,93.84277122005345,4.887284016395466,89.16499231961949,88.473761860387,27.912392994918967,91.02902918004332,49.82099533082489,45.87827861473903,70.93389846499252,29.94937234613935
40.97572437270834,18.833491505912992,56.482099071922406,95.66901187723884,1.7058175688514088,68.58843913948066,41.73601886484969,50.30676417971496,16.1807307144486,85.76810910176678,31.92671468923203,79.82903012820924
90.07828347853388,98.61733123380155,47.27638203537291,22.263303958766446,26.827289907400864,36.19223071004766,77.78981218839793,92.04401443842023,95.6139307818298,52.950766100782545,63.10399117550921,81.48968727768984
7.235404649882016,59.25940641460841,68.29584404704966,89.74258841546975,83.56549483802864,1.7850939504089558,45.083376013702114,41.53403906357025,61.94046589920023,1.6737335095270756,20.13493998457423,33.392530668095176
1.0383214789996154,40.88181946252419,86.32633279531954,86.08699955698889,88.71590471690833,72.31426326264582,99.45827935887849,48.330451187545755,36.39710958059407,17.100368797855538,41.367360828878816,30.398269557948375
34.691933695152485,49.401253803889034,6.523505957304476,50.280872345082464,34.46813796238635,30.053883536436565,31.15173893836307,0.10200844777912277,12.2674796572939,12.597658234601717,72.6083530823335,57.11041512997733
22.926822640531885,68.4305764524435,23.62284747053115,46.08406362695231,88.15173032953709,62.13389140219617,50.31142397409334,91.96901052113009,62.21334280396863,15.40814375884314,1.9890476225058684,46.86841080721811
12.83112511551665,72.86250609892375,33.345056033701034,17.969205801106604,59.00264063103816,73.21473234857973,17.618876307579345,52.999494529283794,35.4703726459633,80.4713334622769,71.62138589108228,71.98902563212113
62.22118497247043,3.852192412586375,49.740631978874184,25.443010266214284,5.533346977572007,75.00246965462442,4.01940873153287,51.2011433001077,13.788735975320765,68.37189804191742,59.318347096526736,51.02038045038832
12.069459946334248,24.379365688140574,40.37393629014831,60.99839207229449,88.28571597670165,42.56482306297037,6.673534160079719,82.40400025392776,33.77490634884873,90.48352410200815,38.031764492176755,67.05415985655304
13.216793284033734,61.62610108018703,7.801892053648107,13.268372195467803,1.5035163702808885,24.07540636712441,31.05055015660454,46.21019475349056,59.13846300989898,40.839075227290856,16.70207221620783,53.74842165122852
10.879947294533565,57.975127140494145,48.96280059621897,95.97386072095273,51.55865329832071,61.32744145602005,27.809306338095674,8.680990096969655,11.974043866720264,32.74989914162432,11.184491126661356,73.0539120776072
56.10597571995663,99.8347942996539,34.54353125697441,96.18286134990922,6.639557600313006,37.83385453726955,76.07687371313338,94.95433413606328,27.469633941596825,64.27229358681451,60.123922452309095,88.65373015852049
91.11225589445559,37.18968117802521,61.76303642714209,99.30511793928304,67.5877655845136,54.83162786491735,82.85902982532117,19.347960056167434,73.36330104277826,67.08098060694851,87.25914399155893,98.30884302888238
59.86057399704474,80.49411913802005,48.30034380455239,61.038322757030514,56.044080111163574,2.422709130909595,24.08523562531698,18.00802024481173,94.6755891027461,76.46054805261487,76.36565658225291,93.562325581801
